country,id,year,electricity_aid,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment,electricity_access_lag,electricity_access_improvement
Bosnia and Herzegovina,BIH,2021,26.334628,100,100,100,-649.5773342,7.38996234,18.39646909,11.46331019,75.3,-1.440652596,3.270943,-2.238286295,14.897,-0.617820533,100,0
Bosnia and Herzegovina,BIH,2022,29.994626,100,100,100,-728.8407847,4.226811011,20.99852263,7.539771419,75.293,-1.150513985,3.233526,-1.976449661,12.657,-0.312364152,100,0
Botswana,BWA,2020,0.026111,71.8,26.2,90.6,-100.0180956,-8.728752526,14.20827016,1.890359168,65.647,1.850985764,2.546402,-0.540883513,21.017,2.850621129,70.1,0.02425107
Botswana,BWA,2021,0.032309,73.7,25,93.1,286.1357218,11.92063651,16.66386854,7.240977656,61.141,1.636742755,2.588423,-0.736399588,23.106,2.595762801,71.8,0.026462396
Botswana,BWA,2022,0.136355,75.9,25,95.5,-699.5061261,5.486028178,18.51619134,11.66556748,65.913,1.604757743,2.630296,-0.757738983,23.615,2.528399764,73.7,0.029850746
Brazil,BRA,2020,6.076827,99.7,98.7,99.9,-41737.36981,-3.276758796,15.75907823,3.211768038,74.009,0.665176682,213.196304,-1.242708647,13.697,0.951553411,99.8,-0.001002004
Brazil,BRA,2021,2.530125,99.5,97.3,99.8,-30201.1734,4.762604379,17.6729168,8.301659756,72.75,0.528590453,214.326223,-1.376971574,13.159,0.808423004,99.7,-0.002006018
Brazil,BRA,2022,5.577151,100,97.3,100,-41251.76957,3.016694354,19.39858981,9.28010609,73.425,0.459583548,215.313498,-1.434774133,9.231,0.731782792,99.5,0.005025126
Burkina Faso,BFA,2020,24.104447,18.5,35.42,66.1,91.63897326,2.010772624,2.375862852,1.884439938,59.731,2.688787667,21.522626,1.789294301,4.985,4.7586163,17.6,0.051136364
Burkina Faso,BFA,2021,16.374243,19,22.08,67.6,36.8380545,6.939155247,2.4677406,3.653532872,59.27,2.650375915,22.100683,1.733995673,5.11,4.697431091,18.5,0.027027027
Burkina Faso,BFA,2022,67.404367,19.5,3.4,60.5,-646.2083463,1.777915438,2.620507654,14.29023543,59.766,2.559988391,22.673762,1.629258116,5.348,4.578534343,19,0.026315789
Burundi,BDI,2020,9.695822,9.1,0.9,60.5,-20.09071128,0.327156893,0.812055173,7.321106434,61.566,2.867082195,12.220227,2.471535569,1.03,5.393632938,9.8,-0.071428571
Burundi,BDI,2021,2.784934,10.2,1.6,62.8,-21.24343107,3.099999999,0.864280733,8.404538451,61.663,2.672478462,12.551213,2.266052349,1.11,5.193691055,9.1,0.120879121
Burundi,BDI,2022,15.397398,10.3,1.7,64,-23.32307097,1.848999439,0.917506035,18.80087867,61.977,2.66016084,12.889576,2.241568332,0.919,5.181768293,10.2,0.009803922
Cabo Verde,CPV,2020,1.894315,93.7,92.7,94.3,-63.66000206,-20.80527592,6.053270155,0.605795808,74.808,0.967524169,0.58264,-0.393462666,14.66,1.655483825,91.4,0.025164114
Cabo Verde,CPV,2021,1.687065,95.5,96.9,94.9,-92.09355917,7.033530103,6.75369163,1.862152975,74.052,0.902988883,0.587925,-0.45549,13.906,1.575813409,93.7,0.019210245
Cabo Verde,CPV,2022,3.812681,97.1,96.9,95.3,-104.3419732,17.43907944,8.415157595,7.930929254,74.722,0.884624345,0.593149,-0.471079299,12.272,1.542630676,95.5,0.016753927
Cambodia,KHM,2020,29.404687,86.4,82.9,97.3,-3497.632099,-3.096006731,4.50424716,2.940295143,70.416,1.160057697,16.39686,0.598078767,0.172,2.937896229,84,0.028571429
Cambodia,KHM,2021,35.769327,82.5,77.1,98.9,-3391.043981,3.026389364,4.66823778,2.920734776,69.584,1.165135849,16.589023,0.588033612,0.396,2.948412356,86.4,-0.045138889
Cambodia,KHM,2022,64.363587,92.3,88,99,-3428.345015,5.239810289,5.202677725,5.343702649,69.896,1.072167381,16.767842,0.47835914,0.247,2.864036159,82.5,0.118787879
Cameroon,CMR,2020,25.734872,64.3,24.2,93.9,-590.771938,0.259932916,4.319218871,2.437608822,60.833,2.711853658,26.491087,1.326579476,3.866,3.745673451,63.2,0.017405063
Cameroon,CMR,2021,51.508338,65.4,24.8,94.7,-908.7098428,3.338857472,4.74176177,2.271857625,60.333,2.635819406,27.198628,1.240651294,3.951,3.652176219,64.3,0.017107309
Cameroon,CMR,2022,263.974196,71,25,94,-898.3353712,3.582796319,5.122644393,6.247677133,60.958,2.598102588,27.914536,1.190460829,3.687,3.599127785,65.4,0.085626911
Central African Republic,CAF,2020,6.693219,15.4,1.9,33.9,22.15739304,0.899999997,1.003148677,1.710156595,54.604,2.534093932,5.34302,1.796361489,6.556,3.553540599,14.3,0.076923077
Central African Republic,CAF,2021,11.683398,15.7,1.6,34.7,-174.1969238,0.982919996,1.057194395,4.259364175,53.895,2.113637226,5.457154,1.332085989,6.676,3.174372247,15.4,0.019480519
Central African Republic,CAF,2022,59.846878,15.7,1.6,34.7,-425.5484595,0.502110003,1.112445986,5.583167352,54.477,2.210795117,5.579144,1.384397422,6.337,3.31145591,15.7,0
China,CHN,2020,75.281407,100,100,100,-99374.80772,2.238638356,17.89148029,2.419421895,78.077,0.23804087,1411.1,-2.624262199,5,2.078140058,100,0
China,CHN,2021,45.31842,100,100,100,-165277.2371,8.448469417,20.40672966,0.981015136,78.211,0.0892522,1412.36,-2.76132205,4.55,1.838530282,100,0
China,CHN,2022,228.98831,100,100,100,19846.37167,2.989084086,22.49944267,1.973575557,78.587,-0.013099501,1412.175,-2.848480476,4.98,1.649480857,100,0
Colombia,COL,2020,3.650608,99.7,98.5,100,-5725.176361,-7.185914138,15.42759378,2.526635001,74.769,1.470102032,50.930662,-0.243267277,15.983,1.865109516,99.4,0.003018109
Colombia,COL,2021,33.048426,100,100,100,-6380.521503,10.80119819,17.58723179,3.495057574,72.83,1.143820916,51.516562,-0.566548048,13.898,1.529933014,99.7,0.003009027
Colombia,COL,2022,48.701668,100,100,100,-13799.00571,7.288883887,21.05566303,10.17723135,73.659,0.691481571,51.874024,-1.020795408,10.547,1.07001571,100,0
Comoros,COM,2020,9.093181,85.6,80.1,99,-3.875846081,-0.195556827,3.245399588,0.645311016,64.166,1.900940814,0.806166,1.595441843,5.884,2.639099981,83.3,0.027611044
Comoros,COM,2021,4.398487,87.9,82.9,100,-4.024772182,2.112195577,3.426757734,3.611741883,63.417,1.899440995,0.821625,1.569003398,5.857,2.689265697,85.6,0.026869159
Comoros,COM,2022,10.298725,89.9,82.9,100,-3.839060116,2.387678485,3.687625662,17.76783917,63.68,1.82699355,0.836774,1.469820839,5.854,2.670869748,87.9,0.022753129
"Congo, Dem. Rep.",COD,2020,16.060561,20.1,1,42.8,-1498.084808,1.735422767,1.174385868,31.34635236,59.739,3.224478443,92.853164,2.141369957,5.369,4.530128954,19.1,0.052356021
"Congo, Dem. Rep.",COD,2021,33.12533,20.8,1,43.8,-1677.67379,6.200154011,1.358204717,30.51705453,59.193,3.22252816,95.894118,2.118260822,5.273,4.522165517,20.1,0.034825871
