country,year,electricity_aid,id,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Bhutan,2021,16.95264,BTN,100,100,100,-6.783112488,4.421367389,13.42342887,7.346814405,71.815,0.642586173,0.777486,-0.564185596,4.804,2.264510209
Bhutan,2022,47.723748,BTN,100,100,100,-8.402097146,5.213867838,15.02172899,5.639166714,72.229,0.637077531,0.782455,-0.559670231,5.947,2.201199782
Bolivia,2019,27.213739,BOL,95.1,84.9,99.5,264.9511558,2.21670564,9.091927689,1.83954505,67.841,1.457504391,11.777315,0.312798304,3.682,1.95751015
Bolivia,2020,7.949531,BOL,97.2,90.9,99.9,1018.358417,-8.737884358,8.21070291,0.940742153,64.467,1.33973922,11.936162,0.175074868,7.903,1.84011335
Bolivia,2021,41.09496,BOL,98.6,95.1,100,-492.246695,6.111372697,9.342971844,0.737383721,63.63,1.193486719,12.079472,0.008327923,5.089,1.694205951
Bolivia,2022,95.114528,BOL,99.9,95.6,100,-87.03131266,3.605680426,10.23881209,1.746328729,64.928,1.190274813,12.22411,-0.01937681,3.552,1.692732516
Bosnia and Herzegovina,2019,63.319806,BIH,100,100,100,-425.9451824,2.887343344,16.35400014,,77.241,-1.166081335,3.360711,-1.904959378,15.692,-0.37947001
Bosnia and Herzegovina,2020,37.465537,BIH,100,100,100,-400.099031,-3.015095148,16.27523818,,76.225,-1.266771023,3.318407,-2.036664497,15.868,-0.459756543
Bosnia and Herzegovina,2021,26.334628,BIH,100,100,100,-649.5773342,7.38996234,18.39646909,,75.3,-1.440652596,3.270943,-2.238286295,14.897,-0.617820533
Bosnia and Herzegovina,2022,29.994626,BIH,100,100,100,-728.8407847,4.226811011,20.99852263,,75.293,-1.150513985,3.233526,-1.976449661,12.657,-0.312364152
Botswana,2019,0.174826,BWA,70.1,27.9,88,-113.4020147,3.032202574,14.8898073,2.772864429,65.464,1.950856348,2.499702,-0.454030748,20.094,2.990881683
Botswana,2020,0.026111,BWA,71.8,26.2,90.6,-100.0180956,-8.728752526,14.20827016,1.890359168,65.647,1.850985764,2.546402,-0.540883513,21.017,2.850621129
Botswana,2021,0.032309,BWA,73.7,25,93.1,286.1357218,11.92063651,16.66386854,7.240977656,61.141,1.636742755,2.588423,-0.736399588,23.106,2.595762801
Botswana,2022,0.136355,BWA,75.9,25,95.5,-699.5061261,5.486028178,18.51619134,11.66556748,65.913,1.604757743,2.630296,-0.757738983,23.615,2.528399764
Brazil,2019,8.600299,BRA,99.8,98.5,100,-46354.80725,1.220777824,15.7414785,3.732976212,75.338,0.766107802,211.782878,-1.150739823,11.936,1.060237553
