RecipientName,2019_USD_disbursements,2020_USD_disbursements,USD_Disbursement_2021,2022_USD_disbursements
South Sudan,14.264071,4.891974,1.506831,1.682519
"South of Sahara, regional",53.140779,25.394734,31.894432,140.975259
"Southern Africa, regional",1.465248,1.465248,0.118415,3.100351
Sri Lanka,202.668843,131.325339,78.350484,202.315398
Sudan,0.158756,0.158756,,1.008708
Suriname,2.149567,,0.401,10.6985
Syrian Arab Republic,28.080532,8.234192,2.009712,10.285194
Tajikistan,60.603707,35.07801,61.635435,166.226943
Tanzania,92.43248,47.901706,88.407596,169.063402
Thailand,3.827805,3.827805,0.310211,1.963234
Timor-Leste,0.429683,0.423683,2.663841,4.270635
Togo,1.386899,0.981315,2.348333,9.979639
Tonga,18.641353,10.077868,3.992305,8.747005
Tunisia,36.656575,10.728773,7.032342,260.672166
Turkmenistan,78.000642,77.369743,118.441895,462.439109
Tuvalu,1.452314,1.300712,0.797106,1.627126
Türkiye,114.19654,74.046614,41.435535,174.102307
Uganda,54.3319,21.229597,47.079939,160.060781
Ukraine,21.524369,7.016261,3.018849,799.725305
Uzbekistan,405.051654,158.571472,18.752741,231.573943
Vanuatu,6.455623,6.265022,0.171552,0.171552
Venezuela,0.20947,0.064142,0.057293,0.117293
Viet Nam,124.577655,26.552895,48.304343,93.010995
West Bank and Gaza Strip,76.458871,21.683317,288.369753,322.852851
"Western Africa, regional",30.645428,15.901594,67.898415,123.495407
Yemen,35.000036,16.424341,9.567383,81.782617
Zambia,54.272733,11.445295,23.44688,57.253652
Zimbabwe,2.657204,0.42239,2.356068,7.655996
