country,year,electricity_aid
Malaysia,2020,3.865348
Maldives,2020,15.096642
Mali,2020,14.197095
Marshall Islands,2020,0.206999
Mauritania,2020,38.134846
Mauritius,2020,NA
Mexico,2020,100.21057
Micronesia,2020,0.1391
"Middle East, regional",2020,0.03919
Moldova,2020,5.22584
Mongolia,2020,1.654215
Morocco,2020,143.109441
Mozambique,2020,116.777004
Myanmar,2020,125.885717
Namibia,2020,0.046698
Nauru,2020,0.616207
Nepal,2020,96.908551
Nicaragua,2020,59.611004
Niger,2020,15.991809
Nigeria,2020,21.756924
Niue,2020,0.17803
North Macedonia,2020,0.494689
"North of Sahara, regional",2020,NA
"Oceania, regional",2020,5.146085
Pakistan,2020,56.603159
Palau,2020,0.179035
Panama,2020,200.483081
Papua New Guinea,2020,1.898547
Paraguay,2020,32.366665
Peru,2020,0.408052
Philippines,2020,0.583407
Rwanda,2020,92.416442
Samoa,2020,0.611674
Sao Tome and Principe,2020,0.109035
Senegal,2020,43.020742
Serbia,2020,34.892348
Sierra Leone,2020,33.174798
Solomon Islands,2020,8.909089
Somalia,2020,6.649853
"South & Central Asia, regional",2020,NA
South Africa,2020,13.675373
"South America, regional",2020,0.091165
"South Asia, regional",2020,0.859536
South Sudan,2020,4.891974
"South of Sahara, regional",2020,25.394734
"Southern Africa, regional",2020,1.465248
Sri Lanka,2020,131.325339
Sudan,2020,0.158756
Suriname,2020,NA
Syrian Arab Republic,2020,8.234192
Tajikistan,2020,35.07801
Tanzania,2020,47.901706
Thailand,2020,3.827805
Timor-Leste,2020,0.423683
Togo,2020,0.981315
Tonga,2020,10.077868
Tunisia,2020,10.728773
Turkmenistan,2020,77.369743
Tuvalu,2020,1.300712
Türkiye,2020,74.046614
Uganda,2020,21.229597
Ukraine,2020,7.016261
Uzbekistan,2020,158.571472
Vanuatu,2020,6.265022
Venezuela,2020,0.064142
Viet Nam,2020,26.552895
West Bank and Gaza Strip,2020,21.683317
"Western Africa, regional",2020,15.901594
Yemen,2020,16.424341
Zambia,2020,11.445295
Zimbabwe,2020,0.42239
"Africa, regional",2021,132.547737
Albania,2021,3.907389
"America, regional",2021,30.028641
Angola,2021,0.996663
Antigua and Barbuda,2021,NA
Argentina,2021,NA
Armenia,2021,41.36121
"Asia, regional",2021,51.000169
Azerbaijan,2021,NA
Bangladesh,2021,597.815758
Belize,2021,0.00547
Benin,2021,109.636092
Bhutan,2021,16.95264
"Bilateral, unspecified",2021,56.010515
Bolivia,2021,41.09496
Bosnia and Herzegovina,2021,26.334628
Botswana,2021,0.032309
Brazil,2021,2.530125
Burkina Faso,2021,16.374243
Burundi,2021,2.784934
Cabo Verde,2021,1.687065
Cambodia,2021,35.769327
Cameroon,2021,51.508338
"Caribbean, regional",2021,0.304485
Central African Republic,2021,11.683398
"Central Asia, regional",2021,3.928244
China (People's Republic of),2021,45.31842
Colombia,2021,33.048426
Comoros,2021,4.398487
Congo,2021,3.629748
Costa Rica,2021,5.37352
Cuba,2021,NA
Côte d'Ivoire,2021,78.367452
Democratic Republic of the Congo,2021,33.12533
Djibouti,2021,3.866693
Dominica,2021,0.3795
Dominican Republic,2021,20.765575
"Eastern Africa, regional",2021,9.959862
Ecuador,2021,47.615739
Egypt,2021,442.656678
El Salvador,2021,0.215998
Eswatini,2021,0.404104
Ethiopia,2021,101.580705
"Europe, regional",2021,3.556947
"Far East Asia, regional",2021,0.113396
Fiji,2021,0.84414
Gambia,2021,25.318156
Georgia,2021,104.565998
Ghana,2021,37.449768
Grenada,2021,NA
Guatemala,2021,0.122147
Guinea,2021,18.860626
Guinea-Bissau,2021,21.184122
Guyana,2021,7.138379
Haiti,2021,4.387973
Honduras,2021,44.291045
India,2021,401.641684
Indonesia,2021,322.380941
Iran,2021,NA
Iraq,2021,152.828693
Jamaica,2021,2.480583
Jordan,2021,8.008392
Kazakhstan,2021,0.06582
Kenya,2021,113.820655
Kiribati,2021,4.241574
Kosovo,2021,8.612204
Kyrgyzstan,2021,47.561707
Lao People's Democratic Republic,2021,0.111118
Lebanon,2021,1.69539
Lesotho,2021,2.839676
Liberia,2021,36.783885
Libya,2021,1.019172
Madagascar,2021,14.964509
Malawi,2021,13.377243
Malaysia,2021,0.00167
Maldives,2021,3.783972
Mali,2021,8.593452
Marshall Islands,2021,NA
Mauritania,2021,16.348824
Mauritius,2021,0.052986
Mexico,2021,0.460391
Micronesia,2021,NA
"Middle East, regional",2021,0.693724
Moldova,2021,0.00412
Mongolia,2021,4.335388
Morocco,2021,122.021879
Mozambique,2021,152.008035
Myanmar,2021,31.42382
Namibia,2021,0.035507
Nauru,2021,0.639231
Nepal,2021,117.186254
Nicaragua,2021,18.166539
Niger,2021,30.543912
Nigeria,2021,101.163323
